# HaloID RA DEC X Y
1142 19.7409191132 41.918346405 6636 3421
1611 19.9297733307 42.1149711609 4763 800
1988 19.670539856 42.0688247681 7329 1413
200 20.1709823608 42.1280174255 2377 623
2876 20.3515663147 42.1147232056 591 792
2935 19.5270061493 42.013507843 8753 2145
3807 20.1193065643 41.6380882263 2872 7156
4630 20.3073863983 42.0414009094 1023 1772
4838 19.715511322 41.8353157043 6890 4527
5020 20.1000061035 41.6870307922 3066 6504
7200 20.3044586182 41.9409561157 1046 3111
7384 19.4239730835 42.0798110962 9768 1256
921 20.4031143188 42.0352249146 75 1850
